MODEL PATTERN,FOOT REST,SGC:FRT PUBX,SGC:FRT PUBX UP,SGC:REAR PUBX,B/PANEL,EURO-5,SIDE STEP
120268U0,,O,,O,O,O,
120296U0,,O,,O,O,O,
120297U0,,O,,O,O,O,
120298U0,,,,,O,O,
120402U0,,O,,O,,O,
120299U0,,O,,O,O,O,
120405U0,,,,,O,O,
120272U0,,,O,O,,O,
120301U0,,,O,O,,O,
120302U0,,,O,O,O,O,
120303U0,,,O,O,O,O,
120304U0,,,,,O,O,
120275U0,,,O,O,,O,
120305U0,,,O,O,,O,
120206U0,,,O,O,,O,
120306U0,,,,,,O,
120208U0,,,O,O,,O,
120396U0,,,O,O,,O,
120281U0,,,O,O,,O,
120212U0,,O,,O,,O,
120216U0,,,O,O,,O,
120282U0,,,O,O,,O,
120218U0,,O,,O,,O,
120277U0,,,O,O,O,O,
120397U0,,,O,O,O,O,
120307U0,,,O,O,O,O,
120308U0,,,,,O,O,
120309U0,,,O,O,,O,
120222U0,,,O,O,,O,
120285U0,,O,,O,,O,
120224U0,,,O,O,,O,
120287U0,,O,,O,,O,
120226U0,,O,,O,,O,
120289U0,,,O,O,,O,
120228U0,,,O,O,,O,
120291U0,,O,,O,,O,
120398U0,,,O,O,,O,
120293U0,,O,,O,,O,
120232U0,,O,,O,,O,
120269U0,O,O,,O,O,O,
120295U0,O,O,,O,O,O,
120406U0,O,,,,O,O,
120311U0,O,O,,O,O,O,
120274U0,O,,O,O,O,O,
120313U0,O,,O,O,O,O,
120276U0,O,,O,O,,O,
120403U0,O,O,,O,,O,
120278U0,O,,O,O,O,O,
120314U0,O,,O,O,O,O,
120315U0,O,,O,O,,O,
120284U0,O,O,,O,,O,
120312U0,O,O,,O,,O,
120286U0,O,O,,O,,O,
120288U0,O,O,,O,,O,
120316U0,O,O,,O,,O,
120317U0,O,,O,O,,O,
120404U0,O,O,,O,,O,
120292U0,O,O,,O,,O,
120294U0,O,O,,O,,O,
120318U0,O,O,,O,,O,
120498U0,,O,,O,O,O,
120499U0,,O,,O,O,O,
120500U0,,O,,O,O,O,
120501U0,,O,,O,O,O,
120502U0,,O,,O,O,O,
120503U0,,O,,O,O,O,
120504U0,,O,,O,O,O,
120505U0,,,,,O,O,
120506U0,,,,,O,O,
120507U0,,,,,O,O,
120508U0,,,O,O,,O,
120509U0,,,O,O,O,O,
120510U0,,,O,O,O,O,
120511U0,,,O,O,O,O,
120512U0,,,O,O,O,O,
120513U0,,,,,O,O,
120514U0,,,,,O,O,
120515U0,,,,,O,O,
120516U0,,,O,O,,O,
120517U0,,,,,,O,
120518U0,,,O,O,,O,
120519U0,,,O,O,,O,
120520U0,,,O,O,O,O,
120521U0,,,,,O,O,
120522U0,,,O,O,,O,
120523U0,,,O,O,,O,
120524U0,,,O,O,,O,
120525U0,,O,,O,,O,
120526U0,,O,,O,,O,
120527U0,,O,,O,,O,
120528U0,,O,,O,,O,
120529U0,,O,,O,,O,
120530U0,,O,,O,,O,
120531U0,,,O,O,,O,
120532U0,,,O,O,,O,
120533U0,,,O,O,,O,
120534U0,,O,,O,,O,
120535U0,,O,,O,,O,
120536U0,,O,,O,,O,
120537U0,,O,,O,,O,
120538U0,,O,,O,,O,
120539U0,,O,,O,,O,
120540U0,O,O,,O,,O,
120680U0,,,O,O,,O,
120681U0,,O,,O,,O,
120682U0,,,O,O,,O,
120683U0,,O,,O,,O,
120457U0,O,O,,O,O,O,
120458U0,O,O,,O,O,O,
120459U0,O,,,,O,O,
120460U0,O,O,,O,O,O,
120461U0,O,O,,O,O,O,
120462U0,O,O,,O,,O,
120463U0,O,O,,O,,O,
120464U0,O,O,,O,,O,
120465U0,O,O,,O,,O,
120466U0,O,O,,O,,O,
120688U0,,,O,O,,O,
120689U0,,,O,O,,O,
